"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000051951"	22.478090017245	-4.21613806067296	0.806425209263876	2.38073148978053e-07	1.43280132289836e-06
"ENSMUSG00000025900"	12.0695013432155	2.1540274498849	0.610618347048573	0.000277038556028531	0.00115328594787348
"ENSMUSG00000033845"	1380.35711848606	0.887662890226005	0.0973187404884509	1.919375014147e-09	1.40783833034867e-08
"ENSMUSG00000025903"	2522.97514786434	1.90058644898121	0.149568240732037	6.21171317266027e-27	1.37494947470956e-25
"ENSMUSG00000002459"	11.5518205132571	-2.06391717839522	0.708817161131629	0.00163378456766536	0.00600641062291987
"ENSMUSG00000033793"	1921.19192311764	0.90117398488833	0.0843416570345642	1.9209709434944e-12	1.7981125336129e-11
"ENSMUSG00000033740"	4.68487408444549	-4.68464256670318	2.64552568245668	0.00103076091702542	0.00391780366249927
"ENSMUSG00000097797"	25.3183081067603	-1.49913355717608	0.433509979322158	0.00113920761718443	0.00430072057508401
"ENSMUSG00000025909"	12.8992232874555	3.85606199700935	0.702770579121984	4.1188231781369e-08	2.6936982975259e-07
"ENSMUSG00000103411"	4.5230481943314	2.93912879098041	1.15539880265788	0.00189582705417212	0.00687583654236441
"ENSMUSG00000061024"	497.558832612376	0.886332145187832	0.141863014213829	2.25201493506342e-05	0.000108397632671781
"ENSMUSG00000025911"	3390.47686452624	4.03344908811426	0.400137450307506	1.17863267893919e-21	1.97476235944694e-20
"ENSMUSG00000081441"	8.13824570652823	2.99778276544461	0.793680135275998	5.63419794469401e-05	0.000255916568836274
"ENSMUSG00000067879"	18.7179011202305	-4.31021934250052	0.896024169796448	1.78989870536901e-06	9.77637507598715e-06
"ENSMUSG00000046101"	31.3148268142514	1.80131380967699	0.509647452662834	0.000482623664400958	0.00193239815717659
"ENSMUSG00000048960"	376.918118420998	-0.693686082458077	0.168837694340305	0.0104473151146146	0.0324610929006403
"ENSMUSG00000016918"	499.946891854968	-3.03153123946273	0.302611501488582	1.76328674468851e-20	2.78116145168596e-19
"ENSMUSG00000025938"	14.5506183028003	-3.88279990618811	0.896685011234874	1.24161518950022e-05	6.16090505272115e-05
"ENSMUSG00000025937"	9228.60303808817	2.47113238415129	0.121292210737019	2.09777531677171e-71	3.74813711398235e-69
"ENSMUSG00000102982"	59.4028692146243	1.86533240360998	0.321726692189564	2.11643496162646e-07	1.27787127420831e-06
"ENSMUSG00000025930"	6.59481491162247	-5.67339668303383	2.51640408029513	4.57589992830695e-05	0.000211065983062386
"ENSMUSG00000092083"	11.4686781205841	-2.76398183497852	0.776140751323392	0.000188140800649342	0.000800216461950563
"ENSMUSG00000100652"	2.27688959654499	-2.51196788313351	2.87765641483329	0.0141301915384034	0.0424914094275887
"ENSMUSG00000067795"	18.859831977039	-1.70712354251457	0.575522070337805	0.00216315464098004	0.0077584544325756
"ENSMUSG00000025921"	1951.82709527633	-1.13957376402501	0.131343459323427	1.17403186822038e-10	9.47626589983157e-10
"ENSMUSG00000025940"	994.598436112616	1.1221789349427	0.100959410196324	5.51864644666431e-16	6.62296881997854e-15
"ENSMUSG00000025777"	2.49503409352683	-3.04411200906056	2.69314848616584	0.00861986381740123	0.0272338433297268
"ENSMUSG00000067780"	145.194976978451	-2.35179368651744	0.2452850154164	1.07581161115363e-17	1.43789207202305e-16
"ENSMUSG00000041872"	20.8663299232747	2.96404667190335	0.480125322390196	2.98967235557868e-09	2.16368575468225e-08
"ENSMUSG00000041859"	439.272665667129	-2.43637251264133	0.201111041325597	5.03165282182256e-27	1.12040811687523e-25
"ENSMUSG00000025931"	105.980557521729	-1.74488596703179	0.260952682318588	7.09395741081429e-09	4.95423529747112e-08
"ENSMUSG00000041809"	53.8510640425276	-2.00311975360032	0.413875179238245	5.4412344596093e-06	2.81371915769655e-05
"ENSMUSG00000041779"	641.015643257057	-0.836044771422296	0.147112761737832	0.00015910834189869	0.000682058677152658
"ENSMUSG00000025934"	1147.40361573884	2.12560718327031	0.244596474596877	1.93041670928382e-14	2.07878142647757e-13
"ENSMUSG00000025936"	24.4269903839995	2.01682904351121	0.610411286616258	0.000580292280496805	0.00229628770244784
"ENSMUSG00000026156"	1807.99777822466	1.30062398216154	0.20140257893064	2.68415758455406e-07	1.60288704527889e-06
"ENSMUSG00000026154"	237.161315841519	0.693209939103137	0.173815481057109	0.0125755111219092	0.0382749339597602
"ENSMUSG00000101939"	113.914403870245	1.74753356666516	0.360991167563484	1.13749239399802e-05	5.66564565734874e-05
"ENSMUSG00000101111"	4.79779421688726	2.45045774616631	0.992500683533709	0.00277039470187998	0.00973167588420689
"ENSMUSG00000101249"	75.1863151360205	2.0522643412431	0.31080869881483	3.06600064026943e-09	2.21677106829969e-08
"ENSMUSG00000073725"	1718.42105642902	0.579196209093832	0.110441606898869	0.00819620955765545	0.0260278891313347
"ENSMUSG00000033569"	19.9139345821027	2.58218539957521	0.522152335656207	1.27198241072546e-06	7.04924445685915e-06
"ENSMUSG00000101514"	51.3512353926506	3.4974695034768	0.355886510698517	2.8815867977969e-20	4.46615957959722e-19
"ENSMUSG00000026064"	525.072136898164	-1.27246248644528	0.165505212843895	1.96382809835186e-09	1.43945312597934e-08
"ENSMUSG00000100481"	8.04870170266678	-2.72278995726597	1.10452239333137	0.00282114788235261	0.0098959504954395
"ENSMUSG00000042215"	539.779781209041	-1.52889567737435	0.161913907256448	1.47062014867411e-14	1.59595871722486e-13
"ENSMUSG00000042182"	16.7784959219042	-2.74745487596357	0.643030898558219	1.78728309525645e-05	8.72506680862462e-05
"ENSMUSG00000026131"	10131.1365074705	1.30501569204807	0.118091799087518	1.81086101059621e-17	2.37624969510316e-16
"ENSMUSG00000101462"	13.3415114991154	-1.77613287282649	0.692339491514295	0.0044608076271542	0.0150064283092125
"ENSMUSG00000102336"	34.1005949254711	-1.67837440826202	0.467413815896731	0.000500239054354277	0.00199923319803889
"ENSMUSG00000037509"	110.542670362817	-1.21741918507396	0.223411734493481	1.3964632084766e-05	6.88794374958399e-05
"ENSMUSG00000026123"	4790.11029335356	1.15674544666355	0.125341107037717	5.98656064506406e-12	5.36747673411725e-11
"ENSMUSG00000047180"	770.269982878645	-2.66593554949862	0.172426472341026	3.25618050389377e-43	1.67952737584211e-41
"ENSMUSG00000037447"	284.608438354541	-2.49248659855455	0.173565644664746	5.8487764641166e-37	2.3038196393224e-35
